https://habr.com/	Лучшие публикации за сутки / Хабр	Сбор данных
https://habr.com/ru/	Лучшие публикации за сутки / Хабр	Сбор данных
https://habr.com/ru/hub/kubernetes/	Kubernetes – Фреймворк для работы с контейнерными приложениями / Хабр	Kubernetes
https://habr.com/company/tuturu/	Туту.ру, Москва - Tutu.ru — сервис путешествий №1 в России. / Статьи / Хабр	Туту.ру
https://habr.com/ru/about/	Хабр. Сообщество IT-специалистов	Not Found
https://habr.com/ru/company/domclick/	ДомКлик, Россия - / Статьи / Хабр	ДомКлик
https://habr.com/ru/hub/data_mining/	Data Mining – Глубинный анализ данных / Хабр	Data Mining
https://habr.com/ru/hub/wearable_electronics/	Носимая электроника – Всё своё ношу на себе / Хабр	Носимая электроника
https://habr.com/ru/post/470668/	Как я сгенерировал на Python тысячу лиц для своей игры / Хабр	Как я сгенерировал на Python тысячу лиц для своей игры
https://habr.com/ru/hub/dev_management/	Управление разработкой – Планирование, отслеживание и контроль / Хабр	Управление разработкой
https://habr.com/ru/company/mailru/blog/495326/	Как мы делали ядро инвестиционного бизнеса «Альфа-Банка» на базе Tarantool / Блог компании Mail.ru Group / Хабр	Как мы делали ядро инвестиционного бизнеса «Альфа-Банка» на базе Tarantool
https://habr.com/ru/news/t/464567/	Опубликована база учёных, которые активно цитируют сами себя. Украина и Россия в лидерах / Хабр	Опубликована база учёных, которые активно цитируют сами себя. Украина и Россия в лидерах
https://habr.com/ru/hub/kubernetes/page3/	Kubernetes – Фреймворк для работы с контейнерными приложениями / Хабр	Kubernetes
https://habr.com/ru/info/help/settings/	Настройки / Устройство сайта / Хабр	Not Found
http://freelance.habr.com/	Welcome to nginx!	Welcome to nginx!
https://twitter.com/intent/tweet?text=%D0%9A%D0%B0%D0%BA+%D0%BC%D1%8B+%D0%B4%D0%B5%D0%BB%D0%B0%D0%BB%D0%B8+%D1%8F%D0%B4%D1%80%D0%BE+%D0%B8%D0%BD%D0%B2%D0%B5%D1%81%D1%82%D0%B8%D1%86%D0%B8%D0%BE%D0%BD%D0%BD%D0%BE%D0%B3%D0%BE+%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81%D0%B0+%C2%AB%D0%90%D0%BB%D1%8C%D1%84%D0%B0-%D0%91%D0%B0%D0%BD%D0%BA%D0%B0%C2%BB+%D0%BD%D0%B0+%D0%B1%D0%B0%D0%B7%D0%B5+Tarantool+https://habr.com/p/495326/+via+%40habr_com	Post a Tweet on Twitter	Twitter
https://career.habr.com/vacancies/1000057469	Требуется «Senior Golang(Delivery club)» — Хабр Карьера	Senior Golang(Delivery club)
https://career.habr.com/companies/mailrugroup/vacancies	Открытые вакансии компании «Mail.ru Group» — Хабр Карьера	Вакансии компании «Mail.ru Group»
https://career.habr.com	Работа в IT-индустрии — Хабр Карьера	Not Found
https://career.habr.com/vacancies/1000057869	Требуется «Senior C++ developer» — Хабр Карьера	Senior C++ developer
https://habr.com/ru/company/domclick/vacancies/	Вакансии компании ДомКлик / Хабр	ДомКлик
https://getpocket.com/edit?url=https://habr.com/ru/news/t/464567/&title=Опубликована база учёных, которые активно цитируют сами себя. Украина и Россия в лидерах	Pocket: Log In	Pocket
https://getpocket.com/edit?url=https://habr.com/ru/company/mailru/blog/495326/&title=Как мы делали ядро инвестиционного бизнеса «Альфа-Банка» на базе Tarantool	Pocket: Log In	Pocket
https://qna.habr.com/q/739653	Можно ли в Sony WF1000MX3 включить сопряжение при открытии крышке кейса? — Хабр Q&A	Можно ли в Sony WF1000MX3 включить сопряжение при открытии крышке кейса?
https://m.habr.com/ru?mobile=yes	Все публикации подряд / Хабр	Все потоки
https://t.me/share/url?url=https://habr.com/ru/news/t/464567/&title=Опубликована база учёных, которые активно цитируют сами себя. Украина и Россия в лидерах	Telegram: Share Web Page	Not Found
https://career.habr.com/vacancies	Вакансии — Хабр Карьера	Not Found
https://qna.habr.com/q/741069	Как правильно настроить MERN приложение в Docker? — Хабр Q&A	Как правильно настроить MERN приложение в Docker?
https://career.habr.com/vacancies/1000058216	Требуется «Senior Backend Developer (Python/Go) для Kubernetes » — Хабр Карьера	Senior Backend Developer (Python/Go) для Kubernetes
https://qna.habr.com/q/743249	Как примонтировать только файл из именованного volume используя docker-compose? — Хабр Q&A	Как примонтировать только файл из именованного volume используя docker-compose?
https://www.facebook.com/sharer/sharer.php?u=https://habr.com/ru/company/mailru/blog/495326/	Redirecting...	Not Found
https://habr.com/ru/users/stereohorse/	Viet Nguyen aka stereohorse из компании Конференции Олега Бунина (Онтико) - Passionate developer на Хабр	Viet Nguyen stereohorse
https://career.habr.com/vacancies/1000047419	Требуется «Senior Frontend Developer (React)» — Хабр Карьера	Senior Frontend Developer (React)
https://habr.com/ru/users/Svetlyak/	Александр Артёменко aka Svetlyak из компании Яндекс - Пользователь на Хабр	Александр Артёменко Svetlyak
https://habr.com/ru/users/Nastradamus/	Виктор aka Nastradamus из компании ДомКлик - Пользователь на Хабр	Виктор Nastradamus
https://habr.com/ru/users/ShikaSD/	Андрей Шиков aka ShikaSD из компании Badoo - Android developer на Хабр	Андрей Шиков ShikaSD
https://qna.habr.com/q/740743	В чем отличие между статической/динамической типизацией и явной/неявной? — Хабр Q&A	В чем отличие между статической/динамической типизацией и явной/неявной?
https://career.habr.com/vacancies/1000057961	Требуется «Project manager» — Хабр Карьера	Project manager
https://career.habr.com?utm_source=habr&utm_medium=habr_top_panel	Работа в IT-индустрии — Хабр Карьера	Not Found
https://qna.habr.com/q/736041	Какие наушники до 1500-2000 р выбрать? — Хабр Q&A	Какие наушники до 1500-2000 р выбрать?
https://habr.com/ru/users/ua-hosting/	ua-hosting.company aka ua-hosting из компании ua-hosting.company - Корпоративный аккаунт на Хабр	ua-hosting.company ua-hosting
https://qna.habr.com/q/735409	Как обновлять k8s pod при обновлении контейнера на Docker hub? — Хабр Q&A	Как обновлять k8s pod при обновлении контейнера на Docker hub?
